,AM_refseq_aegilops_tauschii,AM_refseq_ananas_comosus,AM_refseq_asparagus_officinalis,AM_refseq_brachypodium_distachyon,AM_refseq_cajanus_cajan,AM_refseq_capsicum_annuum,AM_refseq_carica_papaya,AM_refseq_cicer_arietinum,AM_refseq_cucumis_melo,AM_refseq_daucus_carota,AM_refseq_fragaria_vesca,AM_refseq_gossypium_arboreum,AM_refseq_helianthus_annuus,AM_refseq_hevea_brasiliensis,AM_refseq_lactuca_sativa,AM_refseq_manihot_esculenta,AM_refseq_medicago_truncatula,AM_refseq_musa_acuminata,AM_refseq_nicotiana_tabacum,AM_refseq_olea_europaea,AM_refseq_phaseolus_vulgaris,AM_refseq_phoenix_dactylifera,AM_refseq_prunus_persica,AM_refseq_ricinus_communis,AM_refseq_sesamum_indicum,AM_refseq_setaria_italica,AM_refseq_solanum_lycopersicum,AM_refseq_sorghum_bicolor,AM_refseq_theobroma_cacao,AM_refseq_vigna_radiata,AM_refseq_vitis_vinifera,AM_refseq_zea_mays,NM_refseq_arabidopsis_lyrata,NM_refseq_arabidopsis_thaliana,NM_refseq_beta_vulgaris,NM_refseq_brassica_rapa,NM_refseq_capsella_rubella,NM_refseq_eutrema_salsugineum,NM_refseq_lupinus_angustifolius,NM_refseq_nelumbo_nucifera,NM_refseq_spinacia_oleracea,NM_refseq_tarenaya_hassleriana,mann_w,mann_p,mann_FDR,am_avg,nm_avg,am_freq,nm_freq,am_v_nm
OG0000017,2,1,4,0,25,2,6,18,0,19,50,27,43,2,43,1,163,2,8,7,34,3,12,4,3,0,4,0,19,19,5,0,229,149,31,153,172,132,7,8,61,12,46.5,0.000828800549217,0.01289893812514,16.4375,95.4,0.84375,1,0.172300838574423
OG0000025,41,44,10,13,30,20,6,23,4,44,32,39,14,57,15,37,75,14,42,36,71,24,40,17,14,21,16,23,41,59,99,20,17,10,4,14,19,7,17,18,5,3,269.5,0.001275149737539,0.01910065274217,32.53125,11.4,1,1,2.85361842105263
OG0000037,40,7,14,16,52,27,11,15,14,57,27,14,61,30,52,19,40,13,38,39,26,25,22,15,15,23,23,21,33,20,24,20,11,6,2,13,5,8,8,12,6,2,312,7.56119822154726E-06,0.000408333129521,26.65625,7.3,1,1,3.65154109589041
OG0000040,38,58,8,13,11,15,4,2,6,25,31,41,48,58,13,25,24,51,28,29,12,17,57,23,10,16,8,8,28,19,83,4,2,1,6,2,1,1,1,17,4,4,297,5.42369621339074E-05,0.001276189944396,25.40625,3.9,1,1,6.51442307692308
OG0000046,74,7,13,20,12,13,9,26,32,20,20,15,12,35,13,26,32,67,35,13,15,19,21,16,8,30,10,21,14,17,30,10,4,3,9,2,4,2,15,16,11,13,276,0.000634879855906,0.010235745376086,22.03125,7.9,1,1,2.78876582278481
OG0000047,32,7,33,16,4,140,7,4,3,15,11,43,18,26,3,7,31,3,86,65,3,6,21,18,12,21,40,12,39,2,29,8,1,0,2,0,0,0,2,12,1,0,305,1.90934346948293E-05,0.000741867515223,23.90625,1.8,1,0.5,13.28125
OG0000050,44,2,5,11,24,20,4,8,6,52,20,36,30,47,52,25,44,20,20,28,20,23,34,6,3,9,9,8,20,23,39,3,5,2,6,2,6,1,13,23,8,6,257.5,0.00406695380242,0.043371782755581,21.71875,7.2,1,1,3.01649305555556
OG0000052,73,25,10,15,13,20,14,5,9,19,13,21,26,43,25,31,17,16,16,23,9,16,19,13,12,20,5,29,19,8,55,25,13,16,7,9,10,14,5,7,8,5,269.5,0.001259505923997,0.018886015238227,20.75,9.4,1,1,2.20744680851064
OG0000056,85,7,8,28,20,26,3,18,0,16,10,14,21,15,30,15,44,14,37,25,25,10,8,17,14,36,22,32,14,21,7,31,0,0,6,0,0,0,15,0,6,1,299,4.08309597275888E-05,0.000967084478956,21.03125,2.8,0.96875,0.4,7.51116071428571
OG0000058,16,17,6,9,18,13,8,4,3,17,8,16,26,21,11,15,23,11,10,16,21,9,22,9,4,9,5,13,11,17,25,10,28,27,25,46,39,23,8,18,29,26,37,0.00029169251868,0.004998262906077,13.21875,26.9,1,1,0.491403345724907
OG0000085,8,6,14,4,12,14,2,6,2,50,20,26,40,20,28,12,14,7,14,26,18,8,21,23,29,4,9,7,18,16,16,4,0,0,7,0,0,0,21,9,6,1,270,0.001193741995133,0.017984377304763,15.5625,4.4,1,0.5,3.53693181818182
OG0000093,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126,98,0,91,99,70,0,0,0,2,71,0.00027081056792,0.00472397548047,0.59375,48.6,0.09375,0.6,0.0122170781893
OG0000105,24,12,15,10,26,6,8,13,1,14,17,15,22,19,10,16,17,8,13,12,19,16,15,11,7,11,7,13,12,14,8,11,5,5,5,9,8,4,11,3,3,5,290,0.000127153285231,0.002862941915906,13.1875,5.8,1,1,2.27370689655172
OG0000109,25,13,10,12,14,14,2,9,9,1,3,6,22,17,5,14,20,2,22,11,19,15,13,12,15,22,10,30,3,24,21,22,0,0,4,0,0,0,14,9,3,0,285.5,0.000214231649801,0.00409253533352,13.65625,3,1,0.4,4.55208333333333
OG0000114,26,4,9,12,5,14,6,3,9,33,23,7,15,15,29,17,12,7,6,12,8,6,39,12,7,9,11,10,8,6,16,9,6,5,9,7,6,4,7,3,6,3,269,0.001286205718701,0.019256222146049,12.65625,5.6,1,1,2.26004464285714
OG0000117,27,6,8,20,14,4,4,8,3,14,15,8,20,19,11,8,34,5,9,17,26,9,11,8,6,15,6,13,4,18,22,13,6,3,4,9,4,1,4,9,5,3,272.5,0.000903577961809,0.013964386682508,12.65625,4.8,1,1,2.63671875
OG0000127,17,5,15,7,12,9,12,8,9,9,7,16,17,18,11,18,9,6,23,12,13,12,9,11,16,8,6,8,12,11,15,9,8,6,7,6,5,4,9,17,6,5,263.5,0.00223386590103,0.025396805517277,11.5625,7.3,1,1,1.58390410958904
OG0000149,17,10,2,8,14,3,3,13,8,15,11,16,34,21,16,17,13,9,7,3,17,14,11,10,1,8,4,8,11,14,13,8,3,2,5,4,2,2,2,14,3,3,269.5,0.001229165586304,0.018469627246079,11.21875,4,1,1,2.8046875
OG0000153,13,1,9,5,21,20,2,10,4,17,5,15,12,16,12,14,19,10,15,10,7,3,6,10,5,12,6,13,11,9,26,5,5,5,4,8,5,3,8,4,2,4,265.5,0.00185971792042,0.021692933761126,10.71875,4.8,1,1,2.23307291666667
OG0000174,20,1,2,4,4,9,7,2,3,17,15,6,10,14,4,8,2,1,12,8,1,0,10,1,2,8,1,6,7,2,4,3,33,28,5,33,15,22,4,10,6,17,56,0.002168987002485,0.024757646635434,6.0625,17.3,0.96875,1,0.350433526011561
OG0000177,2,1,4,2,18,9,3,6,4,0,12,13,5,11,3,4,21,4,13,12,8,1,3,3,7,1,9,2,3,10,19,2,20,20,15,27,13,14,9,5,18,5,53.5,0.001702098953893,0.020033307228734,6.71875,14.6,0.96875,1,0.460188356164384
OG0000201,7,3,2,5,6,12,3,4,3,15,23,7,32,16,16,10,6,1,21,16,7,3,9,12,11,5,8,6,12,8,19,4,1,3,4,0,1,1,3,4,8,1,279,0.000445238554315,0.007398324849902,9.75,2.6,1,0.9,3.75
OG0000203,48,8,8,14,3,8,2,5,4,15,10,9,14,10,8,11,23,5,15,7,6,3,9,7,5,20,6,15,4,5,9,13,0,0,2,0,0,0,0,1,3,0,317.5,3.25303009748162E-06,0.00019745781772,10.28125,0.6,1,0.3,17.1354166666667
OG0000212,18,4,10,13,7,9,4,5,5,7,13,10,9,12,6,8,13,2,22,8,9,9,8,7,9,17,8,7,8,9,14,6,3,3,2,3,4,3,2,5,4,2,306.5,1.49097139705374E-05,0.000741867515223,9.25,3.1,1,1,2.98387096774194
OG0000217,15,9,4,10,5,5,6,5,1,13,6,11,11,11,10,8,10,7,12,11,7,4,13,3,9,17,7,11,7,6,13,10,6,5,1,9,5,3,6,6,1,6,256.5,0.004371260890271,0.046086724909167,8.65625,4.8,1,1,1.80338541666667
OG0000226,10,4,4,9,5,5,4,4,7,13,9,13,16,10,11,7,5,10,18,12,5,13,11,6,6,8,9,6,8,3,18,10,5,4,2,6,4,3,2,8,3,5,273.5,0.000802299457047,0.012622960419121,8.71875,4.2,1,1,2.07589285714286
OG0000229,11,4,2,8,8,6,4,7,4,5,5,9,10,7,9,8,10,9,6,9,5,4,7,6,6,9,6,7,5,5,4,7,8,8,13,21,9,10,11,4,13,10,57.5,0.002428170656969,0.027389612475347,6.625,10.7,1,1,0.619158878504673
OG0000230,9,7,6,7,8,12,1,9,5,15,5,9,11,13,11,14,13,6,9,5,13,4,10,10,7,8,12,12,8,10,12,7,2,2,3,2,2,2,6,6,3,3,300,3.57759994769894E-05,0.000853691416091,9,3.1,1,1,2.90322580645161
OG0000235,9,5,7,7,12,5,5,8,1,11,4,9,17,11,11,6,17,2,12,3,10,5,16,5,7,12,9,15,9,12,11,11,3,3,2,3,1,2,8,2,2,3,290,0.00012254380482,0.002761320401949,8.875,2.9,1,1,3.06034482758621
OG0000249,22,2,1,12,7,3,4,5,3,5,7,5,20,11,18,10,16,4,3,12,13,8,7,11,1,16,2,14,8,9,13,7,0,0,9,0,0,0,2,10,3,0,273.5,0.000817486182216,0.012841103343396,8.71875,2.4,1,0.4,3.6328125
OG0000267,13,8,1,11,10,14,1,9,0,0,1,18,23,5,10,2,25,1,20,33,4,1,6,0,3,11,4,8,5,4,23,7,0,0,0,0,0,0,3,10,0,0,277.5,0.000480993774719,0.00791916971214,8.78125,1.3,0.90625,0.2,6.75480769230769
OG0000284,11,4,1,8,14,2,1,5,1,21,3,6,22,7,11,12,5,5,7,21,15,5,5,7,4,4,2,5,5,15,15,10,1,1,0,2,1,1,7,4,0,1,282.5,0.000285589733446,0.004924965811474,8.09375,1.8,1,0.8,4.49652777777778
OG0000294,3,4,4,3,10,3,5,15,2,24,7,9,9,11,3,13,9,9,7,3,8,5,4,5,8,9,3,12,6,13,10,8,2,2,2,1,3,2,5,6,2,1,288.5,0.000144295607437,0.003223649145937,7.625,2.6,1,1,2.93269230769231
OG0000296,4,7,6,5,6,6,5,6,5,9,4,9,14,7,10,6,6,20,15,13,6,7,4,4,8,4,7,5,4,5,4,7,3,3,3,5,3,3,9,4,3,4,277.5,0.00047658835069,0.007860151156907,7.125,4,1,1,1.78125
OG0000307,14,5,3,6,9,5,4,7,4,5,7,8,10,10,8,10,10,4,6,7,7,9,8,6,4,7,5,11,8,9,10,7,1,1,6,2,1,1,6,5,5,1,285,0.000215774656551,0.00409253533352,7.28125,2.9,1,1,2.51077586206897
OG0000311,10,5,7,5,6,7,3,4,5,10,4,6,14,7,5,5,5,9,15,10,6,1,7,4,11,9,8,7,5,8,7,6,3,3,6,5,3,2,5,2,5,6,260,0.002984640473593,0.032879110738627,6.90625,4,1,1,1.7265625
OG0000312,9,7,4,8,3,23,3,4,3,3,5,2,12,10,10,5,7,9,27,8,3,4,7,8,14,9,26,7,1,4,5,8,0,0,0,0,0,0,2,0,0,0,318.5,2.59732114953883E-06,0.00019745781772,8.0625,0.2,1,0.1,40.3125
OG0000316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,50,0,55,59,21,0,0,0,10,64,3.58698185311013E-06,0.00019745781772,0,25.8,0,0.6,0
OG0000335,18,10,7,8,4,2,2,7,4,5,6,2,12,9,9,5,8,5,3,6,9,3,9,2,7,14,3,12,6,8,9,6,3,5,2,4,3,4,4,2,3,2,263,0.002313183808282,0.026216083160528,6.875,3.2,1,1,2.1484375
OG0000336,13,4,4,4,10,5,5,9,7,10,3,8,11,7,5,5,19,6,11,8,13,3,3,4,5,3,5,3,3,11,5,4,2,2,6,2,2,2,10,2,6,2,258,0.00372255137726,0.040085795003249,6.75,3.6,1,1,1.875
OG0000337,10,4,2,7,7,3,5,5,3,4,4,12,9,7,8,8,6,7,13,8,6,8,5,7,6,6,5,6,8,6,11,6,3,2,7,4,2,2,5,6,4,5,258.5,0.003514253611196,0.038128589973433,6.625,4,1,1,1.65625
OG0000342,19,4,5,12,2,10,0,2,3,9,15,10,15,12,6,6,9,1,7,3,6,1,6,1,3,11,3,12,3,5,15,10,3,1,7,0,0,0,1,3,9,0,257.5,0.003987527115195,0.042667282688845,7.0625,2.4,0.96875,0.6,2.94270833333333
OG0000343,4,2,1,2,8,3,3,4,3,3,3,7,6,4,4,4,7,11,16,3,6,4,3,3,2,2,4,2,3,5,3,3,14,12,5,16,13,10,23,2,8,9,46,0.000684913101967,0.010933173894298,4.3125,11.2,1,1,0.385044642857143
OG0000349,8,1,1,3,6,8,2,7,4,8,7,13,21,10,10,10,6,6,6,4,17,2,8,4,4,4,3,4,11,13,11,3,1,1,2,3,1,1,4,7,1,2,275.5,0.000629436028248,0.010153676076117,7.03125,2.3,1,1,3.0570652173913
OG0000354,17,11,7,8,6,6,1,3,6,10,3,6,2,7,3,3,4,9,10,5,7,10,3,5,8,12,6,11,3,6,5,16,0,0,8,0,0,0,2,5,12,1,256,0.004602974605832,0.048141048571367,6.84375,2.8,1,0.5,2.44419642857143
OG0000357,11,5,7,8,6,5,3,6,4,8,4,7,5,6,5,6,7,9,9,10,6,8,4,4,3,8,4,9,5,6,5,10,3,3,3,4,3,3,8,7,4,4,257,0.003995983791333,0.042710049972092,6.34375,4.2,1,1,1.51041666666667
OG0000398,13,3,3,4,8,7,5,1,4,5,3,6,12,7,3,6,6,9,9,7,8,5,4,5,6,4,9,4,8,8,14,3,3,3,5,5,3,2,2,5,2,3,264,0.002034748425859,0.023420802193483,6.21875,3.3,1,1,1.8844696969697
OG0000418,14,1,15,8,5,2,2,4,2,9,16,5,16,5,10,6,10,3,5,4,3,3,7,6,6,7,3,8,4,3,25,4,1,1,0,2,1,1,1,0,0,0,315,4.6113692850487E-06,0.000252351694399,6.90625,0.7,1,0.6,9.86607142857143
OG0000429,13,4,6,11,4,7,2,4,1,9,6,5,18,5,10,2,8,5,9,12,3,7,4,2,3,7,7,8,4,2,6,11,1,1,2,1,1,1,6,4,2,1,285,0.000215774656551,0.00409253533352,6.40625,2,1,1,3.203125
OG0000464,5,6,7,5,4,8,7,4,6,6,5,4,5,5,6,4,4,8,13,4,5,3,7,3,3,6,10,7,6,5,5,6,2,2,5,3,2,2,5,3,5,5,265,0.001691545347388,0.019925419364677,5.6875,3.4,1,1,1.67279411764706
OG0000488,6,3,3,5,7,5,4,7,5,4,4,6,7,6,6,6,7,7,11,5,6,4,4,5,6,5,6,5,5,6,5,4,3,2,3,3,2,2,10,6,3,2,263.5,0.001999534035329,0.023052412855132,5.46875,3.6,1,1,1.51909722222222
OG0000496,7,3,2,3,5,3,0,0,1,4,14,7,6,9,5,4,3,1,7,8,4,5,10,5,4,3,2,6,5,4,46,2,2,2,2,3,2,2,2,2,2,2,261,0.002585487194413,0.02903872052208,5.875,2.1,0.9375,1,2.79761904761905
OG0000521,4,5,10,2,7,8,3,5,3,9,3,5,10,4,6,3,9,9,16,4,5,9,3,2,6,2,7,2,3,5,7,2,2,2,2,3,2,2,6,3,2,2,266.5,0.001452345101522,0.019844703944293,5.5625,2.6,1,1,2.13942307692308
OG0000534,8,3,5,4,3,6,2,4,2,8,16,6,12,3,11,2,7,7,4,5,4,6,8,2,5,6,6,6,4,4,6,4,1,2,2,3,1,1,2,4,4,2,285.5,0.000188111037127,0.00409253533352,5.59375,2.2,1,1,2.54261363636364
OG0000590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,9,0,57,21,43,0,0,0,8,64,3.58698185311013E-06,0.00019745781772,0,19.4,0,0.6,0
OG0000602,18,4,2,7,0,8,1,0,0,6,1,5,29,16,6,3,0,1,15,2,0,4,0,4,1,10,10,10,3,0,14,6,0,0,2,0,0,0,0,2,1,0,262.5,0.002105986741063,0.024076800266906,5.8125,0.5,0.78125,0.3,11.625
OG0000635,20,3,6,7,4,3,2,3,1,3,3,3,5,3,2,2,3,6,8,2,4,3,2,3,3,6,2,4,2,5,2,4,8,7,8,6,7,5,5,3,6,4,58.5,0.002399305348278,0.027095928716995,4.03125,5.9,1,1,0.683262711864407
OG0000646,6,3,3,5,5,2,2,4,3,3,5,4,8,8,6,4,5,6,11,3,5,4,4,2,3,9,5,9,3,5,10,9,1,1,2,4,1,1,5,3,2,3,273,0.000778504894242,0.012275765977806,5.125,2.3,1,1,2.22826086956522
OG0000673,4,3,3,3,8,5,3,6,1,4,3,6,2,12,3,8,6,7,12,7,11,4,5,6,2,2,5,2,3,11,3,1,1,1,3,2,1,1,4,5,3,1,257,0.003950910080234,0.042306987180437,5.03125,2.2,1,1,2.28693181818182
OG0000687,4,4,2,4,7,3,3,9,4,5,4,4,4,9,2,8,11,4,8,2,4,5,5,7,3,4,2,4,3,3,8,4,2,2,3,3,2,3,5,3,2,3,257,0.00355012564282,0.038401773237286,4.78125,2.8,1,1,1.70758928571429
OG0000692,2,2,6,1,9,3,3,4,2,9,8,6,8,8,6,5,16,1,8,2,10,3,6,5,7,1,1,2,5,9,4,1,1,1,0,1,2,1,6,4,0,1,266,0.001648433218762,0.019844703944293,5.09375,1.7,1,0.8,2.99632352941176
OG0000696,11,5,3,7,2,5,7,2,6,2,1,6,5,4,5,5,4,7,6,4,4,4,3,4,4,11,2,5,7,3,7,5,2,2,1,4,2,2,2,6,1,2,266,0.001578257659498,0.019844703944293,4.875,2.4,1,1,2.03125
OG0000701,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,0,40,24,15,0,0,0,5,66,2.10654593393462E-05,0.000741867515223,0.0625,17.8,0.03125,0.6,0.003511235955056
OG0000716,6,2,4,3,5,6,4,5,5,4,5,4,7,4,8,4,6,3,5,8,5,3,7,3,4,4,5,4,4,4,7,6,2,2,3,2,2,1,4,2,3,3,298,3.52928135885736E-05,0.000843562840599,4.8125,2.4,1,1,2.00520833333333
OG0000717,3,4,1,2,7,16,1,5,1,6,3,5,3,6,1,4,10,2,15,8,6,3,3,6,7,2,15,1,4,6,6,2,1,1,1,1,1,1,1,4,1,2,277.5,0.00043118932497,0.007227578358461,5.125,1.4,1,1,3.66071428571429
OG0000733,17,9,0,13,5,2,1,2,2,7,1,4,6,5,5,5,5,1,3,6,4,3,6,3,3,15,1,11,3,5,4,10,0,0,1,0,0,0,3,4,1,0,286,0.000188955535899,0.00409253533352,5.21875,0.9,0.96875,0.4,5.79861111111111
OG0000750,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,39,0,30,35,20,0,0,0,0,87.5,0.001916594616283,0.022256977900495,0.125,17.1,0.09375,0.5,0.007309941520468
OG0000755,5,10,11,4,2,2,1,4,1,15,4,2,3,2,17,2,3,7,2,6,3,19,4,3,1,7,3,3,2,3,4,2,1,1,3,2,1,1,2,3,2,1,262.5,0.002154919264112,0.024616632388839,4.90625,1.7,1,1,2.88602941176471
OG0000759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,31,19,49,0,0,0,47,64,3.58698185311013E-06,0.00019745781772,0,17.4,0,0.6,0
OG0000760,7,5,3,6,5,3,2,5,4,5,3,3,7,6,5,5,4,10,6,5,5,7,2,3,3,7,3,6,2,4,3,5,2,2,2,4,2,1,4,3,2,2,279,0.000374288198181,0.006306920782256,4.65625,2.4,1,1,1.94010416666667
OG0000767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,40,14,70,0,0,0,41,85,0.000700689670169,0.011128144955196,0.0625,17.1,0.0625,0.5,0.003654970760234
OG0000781,7,2,2,6,4,6,2,3,4,6,4,4,9,4,6,4,3,4,9,6,3,3,6,4,2,5,2,6,5,6,3,5,4,2,4,3,2,2,2,1,3,3,259.5,0.002888140341455,0.031963124811251,4.53125,2.6,1,1,1.74278846153846
OG0000812,2,3,3,3,4,6,2,4,4,7,3,6,8,5,6,5,3,6,10,6,4,7,6,3,5,4,3,3,3,5,3,3,2,2,2,3,2,2,3,2,2,3,290.5,8.05289343433787E-05,0.001859804086564,4.53125,2.3,1,1,1.97010869565217
OG0000842,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,3,0,5,0,0,4,1,0,0,0,6,4,0,0,30,22,1,19,22,20,0,0,0,23,71,0.003229280306305,0.035222939711523,0.875,13.7,0.3125,0.7,0.063868613138686
OG0000925,2,3,1,2,5,2,2,3,2,2,2,2,16,5,10,7,7,7,7,13,7,3,5,5,3,1,2,2,4,10,5,2,0,0,2,0,0,0,3,3,2,0,275,0.000563743161492,0.009130524457881,4.65625,1,1,0.4,4.65625
OG0000927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9,0,28,23,65,0,0,0,3,66,2.10654593393462E-05,0.000741867515223,0.03125,15.8,0.03125,0.6,0.001977848101266
OG0000928,1,2,2,2,2,5,2,2,2,1,1,9,5,3,7,2,7,4,13,5,2,2,1,1,1,2,5,2,3,2,1,1,6,5,6,12,6,6,9,2,5,2,65.5,0.004274011211028,0.045194089839095,3.125,5.9,1,1,0.529661016949152
OG0000933,3,3,2,2,9,5,2,4,2,3,8,14,1,7,1,8,4,2,3,8,5,11,7,4,2,3,3,4,8,6,7,3,0,0,0,0,0,0,3,1,0,0,307.5,1.17336839766725E-05,0.000615161935492,4.8125,0.4,1,0.2,12.03125
OG0000943,21,16,6,12,1,1,0,1,1,1,1,1,1,1,1,1,1,19,2,1,1,13,0,1,0,13,1,13,1,1,1,15,0,1,0,0,0,0,1,5,0,1,250.5,0.003866609206891,0.041466100229184,4.65625,0.8,0.90625,0.4,5.8203125
OG0000952,3,1,3,3,5,2,3,3,2,3,2,2,7,4,4,3,3,5,3,4,5,5,3,2,4,3,2,3,1,5,4,3,6,6,3,4,5,10,5,5,5,3,59.5,0.002308080190743,0.026168565067105,3.28125,5.2,1,1,0.631009615384615
OG0000961,4,3,3,3,8,4,3,3,2,6,6,6,2,5,3,8,10,7,8,4,6,2,4,3,3,3,4,3,3,4,4,3,1,1,2,1,1,1,5,2,1,1,294.5,5.61369618671995E-05,0.001319815805601,4.375,1.6,1,1,2.734375
OG0000990,0,1,0,0,5,3,0,3,1,2,4,15,9,15,8,8,4,2,8,8,2,3,10,4,0,3,3,1,6,2,11,1,0,0,0,0,0,0,2,10,0,0,260.5,0.002647482042257,0.029688586679954,4.4375,1.2,0.84375,0.2,3.69791666666667
OG0000994,6,3,5,3,4,3,3,1,3,2,4,9,3,7,4,5,3,3,3,3,5,6,4,3,3,3,2,3,7,5,13,2,1,1,2,3,1,1,3,6,1,1,265.5,0.00136274963101,0.019844703944293,4.15625,2,1,1,2.078125
OG0001012,4,3,3,3,5,5,2,4,3,5,3,4,5,4,6,3,4,2,7,6,5,3,3,2,4,4,5,5,4,4,3,4,2,2,2,4,2,2,6,2,2,1,262.5,0.002045132506758,0.023512067594702,3.96875,2.5,1,1,1.5875
OG0001030,2,3,3,2,3,5,3,2,3,8,3,5,10,6,6,7,3,7,10,7,3,4,3,3,4,2,4,2,2,3,2,4,1,1,1,2,1,1,5,2,1,2,286.5,0.000151197590575,0.003375218941125,4.1875,1.7,1,1,2.46323529411765
OG0001040,5,1,3,4,3,7,1,1,0,6,5,5,7,6,8,4,5,6,11,1,4,4,3,3,3,4,4,4,2,4,9,3,0,0,4,0,0,0,2,4,4,0,263.5,0.002041574437599,0.023480557883192,4.25,1.4,0.96875,0.4,3.03571428571429
OG0001051,10,1,0,5,1,4,1,1,3,5,5,4,2,2,3,2,3,5,8,5,1,6,6,3,7,12,8,12,2,1,4,11,0,0,2,0,0,0,1,1,2,0,291,0.000101341020371,0.00230342366714,4.46875,0.6,0.96875,0.4,7.44791666666667
OG0001081,3,1,1,1,0,21,1,0,3,17,0,2,2,1,4,1,0,1,24,11,0,0,7,1,15,1,17,3,1,0,5,2,0,0,0,0,0,0,0,1,0,1,268,0.000999590261805,0.015301720852679,4.5625,0.2,0.78125,0.2,22.8125
OG0001091,3,3,2,3,3,5,3,3,2,3,2,4,7,3,6,3,3,5,12,4,2,3,4,3,4,4,5,4,4,3,3,4,3,2,2,3,2,2,2,5,2,2,256.5,0.00311087640469,0.034047801564476,3.8125,2.5,1,1,1.525
OG0001095,4,3,4,3,2,3,1,3,2,3,4,5,4,3,2,3,4,5,5,3,2,2,3,2,4,1,3,1,3,2,2,2,5,6,5,12,6,7,4,2,4,3,54,0.00142898495571,0.019844703944293,2.90625,5.4,1,1,0.538194444444444
OG0001129,0,1,1,0,2,2,4,2,3,2,3,8,1,9,1,17,4,1,2,2,2,0,12,6,3,0,2,0,1,2,5,0,4,5,4,7,4,3,4,5,7,4,63.5,0.004164038951791,0.044196383141304,3.0625,4.7,0.8125,1,0.651595744680851
OG0001131,7,3,2,3,5,3,2,5,3,7,3,4,2,5,4,4,6,5,6,6,5,4,3,4,3,3,3,3,5,4,3,2,1,1,1,3,1,1,3,3,2,1,289.5,9.49443653175162E-05,0.002166601759787,3.96875,1.7,1,1,2.33455882352941
OG0001164,3,2,3,3,2,2,1,1,4,4,2,1,2,3,4,3,3,3,11,2,2,2,2,6,2,2,4,2,3,2,1,3,7,8,2,8,7,5,6,4,2,4,58.5,0.002106994095533,0.024078735228585,2.8125,5.3,1,1,0.530660377358491
OG0001166,0,0,0,0,0,4,0,0,0,0,4,1,0,5,0,4,0,0,9,12,0,0,7,8,0,0,3,0,9,0,5,0,13,8,8,15,7,10,0,1,2,8,60.5,0.001761933584853,0.020669804774529,2.21875,7.2,0.375,0.9,0.308159722222222
OG0001183,3,7,5,3,4,2,4,1,4,2,4,4,2,5,2,4,2,5,8,5,4,8,5,3,4,3,4,3,3,1,4,3,2,2,2,2,2,2,2,2,2,2,275,0.0004705052261,0.007777684203595,3.78125,2,1,1,1.890625
OG0001196,3,6,4,3,2,6,1,1,3,5,6,7,11,7,6,4,2,2,8,5,1,6,4,4,3,5,4,3,5,1,5,5,0,0,1,0,0,0,0,1,1,0,314,4.81969508290138E-06,0.000263250645878,4.3125,0.3,1,0.3,14.375
OG0001211,2,3,3,3,5,3,3,3,2,7,6,5,12,3,6,3,4,1,13,4,4,2,5,3,2,5,1,4,4,5,5,2,0,0,1,0,0,0,3,2,1,0,302,2.33090872453072E-05,0.000741867515223,4.15625,0.7,1,0.4,5.9375
OG0001314,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,54,13,50,0,0,0,0,66.5,2.32706743056867E-05,0.000741867515223,0.03125,13.5,0.03125,0.6,0.002314814814815
OG0001372,9,5,3,7,4,1,2,2,2,2,2,3,3,3,2,2,2,1,4,4,4,4,2,2,2,15,2,9,3,3,4,9,1,1,1,2,1,1,1,1,1,1,303,1.52475736600631E-05,0.000741867515223,3.8125,1.1,1,1,3.46590909090909
OG0001385,3,3,2,3,2,1,1,2,2,2,2,6,5,4,4,3,3,4,5,3,2,4,2,2,3,3,2,2,3,2,2,3,6,5,3,7,4,3,4,3,3,5,62.5,0.002971670470246,0.032748788880008,2.8125,4.3,1,1,0.654069767441861
OG0001407,6,6,8,4,3,3,2,2,2,4,2,5,9,4,3,1,4,2,7,4,3,3,4,3,3,4,2,4,3,3,4,3,1,1,1,1,1,1,2,2,1,1,308,8.78946366793683E-06,0.000465048418379,3.75,1.2,1,1,3.125
