	AM_refseq_aegilops_tauschii	AM_refseq_ananas_comosus	AM_refseq_asparagus_officinalis	AM_refseq_brachypodium_distachyon	AM_refseq_cajanus_cajan	AM_refseq_capsicum_annuum	AM_refseq_carica_papaya	AM_refseq_cicer_arietinum	AM_refseq_cucumis_melo	AM_refseq_daucus_carota	AM_refseq_fragaria_vesca	AM_refseq_gossypium_arboreum	AM_refseq_helianthus_annuus	AM_refseq_hevea_brasiliensis	AM_refseq_lactuca_sativa	AM_refseq_manihot_esculenta	AM_refseq_medicago_truncatula	AM_refseq_musa_acuminata	AM_refseq_nicotiana_tabacum	AM_refseq_olea_europaea	AM_refseq_phaseolus_vulgaris	AM_refseq_phoenix_dactylifera	AM_refseq_prunus_persica	AM_refseq_ricinus_communis	AM_refseq_sesamum_indicum	AM_refseq_setaria_italica	AM_refseq_solanum_lycopersicum	AM_refseq_sorghum_bicolor	AM_refseq_theobroma_cacao	AM_refseq_vigna_radiata	AM_refseq_vitis_vinifera	AM_refseq_zea_mays	NM_refseq_arabidopsis_lyrata	NM_refseq_arabidopsis_thaliana	NM_refseq_beta_vulgaris	NM_refseq_brassica_rapa	NM_refseq_capsella_rubella	NM_refseq_eutrema_salsugineum	NM_refseq_lupinus_angustifolius	NM_refseq_nelumbo_nucifera	NM_refseq_spinacia_oleracea	NM_refseq_tarenaya_hassleriana	Total
OG0000996	5	3	3	3	5	3	2	4	3	4	3	4	3	5	5	4	3	6	6	8	3	3	3	3	3	3	3	4	3	3	4	4	2	2	3	3	3	2	9	2	3	3	153
OG0000997	5	3	2	2	5	3	3	3	2	4	2	4	6	5	6	5	7	2	5	2	2	1	5	3	2	5	4	2	3	4	6	2	2	2	10	3	2	2	3	4	9	1	153
OG0000998	3	5	3	5	3	3	3	3	2	4	2	6	6	2	3	3	2	6	8	7	4	4	2	3	3	4	3	4	3	3	2	3	4	3	2	6	3	4	7	2	2	3	153
OG0000999	4	3	5	3	3	4	2	3	3	4	3	4	5	3	4	3	3	8	8	7	3	4	3	2	3	3	4	3	2	3	2	4	4	4	1	7	4	4	4	3	1	3	153
OG0001000	5	1	1	5	3	9	1	1	3	6	7	1	2	8	1	2	3	1	23	8	3	0	5	2	8	1	10	4	3	4	3	3	2	2	0	4	2	2	2	0	0	2	153
OG0001001	3	3	0	1	4	3	2	4	2	4	2	6	5	4	3	4	4	9	8	8	5	2	2	2	4	1	5	1	2	4	2	2	4	3	3	6	3	3	7	5	4	4	153
OG0001002	5	4	2	3	4	4	5	3	3	4	1	7	2	4	3	4	3	12	8	4	3	3	2	2	3	3	4	2	3	3	3	6	2	2	2	4	2	2	7	4	2	4	153
OG0001003	2	2	3	2	5	2	3	5	5	5	2	6	4	5	3	6	5	4	4	3	5	3	3	3	3	2	3	2	3	6	2	3	4	3	2	7	5	4	5	2	2	5	153
OG0001004	1	3	3	2	5	3	2	3	2	4	3	3	5	4	4	4	2	5	6	6	5	4	3	3	4	4	3	3	3	4	2	5	4	4	3	5	4	4	5	4	3	4	153
OG0001005	1	4	2	2	3	20	0	4	3	10	5	3	6	2	1	3	3	8	10	5	2	4	3	2	6	2	4	2	3	2	3	3	1	1	2	2	1	1	8	1	2	3	153
OG0001006	11	3	1	5	10	4	1	5	3	2	2	3	3	4	2	3	4	6	4	1	4	2	2	2	5	4	3	5	1	4	6	4	3	3	1	5	3	3	9	3	1	2	152
OG0001007	2	4	2	2	5	4	5	2	3	4	3	6	5	7	4	4	4	5	9	3	3	3	3	3	2	3	4	2	3	3	4	3	3	3	1	7	3	3	6	2	1	4	152
OG0001008	2	3	4	3	3	4	4	3	3	4	3	6	3	4	3	6	3	3	6	6	3	4	3	4	4	2	4	1	4	3	4	2	3	3	3	5	3	3	5	4	3	6	152
OG0001009	3	3	2	2	5	4	2	6	3	3	3	6	4	5	4	4	5	5	3	4	4	2	3	3	4	2	4	2	3	4	3	2	5	5	3	4	5	4	4	3	3	4	152
OG0001010	4	4	5	4	4	5	2	1	1	9	2	4	3	4	4	7	3	5	9	7	4	4	3	2	3	4	5	1	2	2	5	5	2	2	1	6	2	2	4	2	1	3	152
OG0001011	2	2	2	2	4	3	2	3	2	5	3	5	9	4	5	4	3	6	7	4	3	3	2	2	4	2	3	2	2	3	2	2	5	5	2	7	5	5	6	2	2	6	152
OG0001012	4	3	3	3	5	5	2	4	3	5	3	4	5	4	6	3	4	2	7	6	5	3	3	2	4	4	5	5	4	4	3	4	2	2	2	4	2	2	6	2	2	1	152
OG0001013	2	4	4	3	3	4	2	2	3	5	2	7	5	5	4	4	2	4	9	5	2	4	2	2	2	3	4	3	2	2	4	4	4	4	2	5	4	4	5	2	3	6	152
OG0001014	3	2	1	3	5	3	2	2	6	3	3	4	4	4	4	3	3	10	6	4	4	3	2	2	3	3	4	3	2	7	8	5	2	2	2	6	3	4	3	3	2	4	152
OG0001015	5	3	2	4	4	3	2	3	2	3	2	4	4	4	3	3	2	6	6	5	4	4	2	2	4	5	3	5	2	4	2	5	4	4	2	6	4	4	7	3	2	4	152
OG0001016	1	3	2	1	1	4	2	14	2	2	4	6	7	3	3	3	5	6	13	3	3	4	2	2	3	1	5	1	3	2	4	2	4	4	1	6	2	4	6	3	1	4	152
OG0001017	3	4	3	3	9	3	2	6	2	5	8	4	5	3	3	2	9	3	2	4	3	3	4	2	5	3	1	3	6	5	6	3	2	2	3	3	2	2	5	1	1	4	152
OG0001018	2	4	2	4	3	4	3	2	4	3	3	3	6	7	5	5	2	5	5	5	3	4	4	3	4	3	3	4	4	3	3	4	3	3	2	5	3	3	5	3	2	4	152
OG0001019	4	2	5	6	4	4	3	4	2	3	2	4	4	6	2	3	4	2	7	6	3	1	3	2	2	6	3	4	2	4	7	4	3	3	2	7	3	3	6	1	2	4	152
OG0001020	6	6	0	4	3	3	2	2	11	5	2	3	4	3	1	2	3	4	6	2	5	8	7	1	4	5	1	7	2	4	1	8	3	3	1	4	2	2	2	2	1	7	152
OG0001021	3	1	1	3	5	3	3	3	4	2	3	8	6	5	4	5	3	7	6	7	4	5	3	2	4	3	3	3	3	4	3	4	3	3	3	3	2	2	3	2	3	5	152
OG0001022	2	2	3	2	5	3	2	5	3	3	3	4	4	5	3	5	4	5	6	3	5	5	3	3	3	3	4	3	3	5	3	4	3	3	3	5	3	3	6	3	3	4	152
OG0001023	3	2	3	3	4	5	2	3	3	4	3	3	4	4	2	2	3	6	7	6	3	4	3	2	5	3	5	3	2	4	3	5	4	4	3	4	3	2	7	3	3	5	152
OG0001024	4	3	5	4	4	3	3	1	2	2	2	4	4	5	4	4	2	5	6	6	4	4	3	1	3	3	4	3	3	3	4	4	4	3	1	9	4	3	4	4	2	5	151
OG0001025	9	6	3	4	4	1	1	4	0	7	2	4	7	3	3	3	4	5	2	4	2	4	2	2	2	3	1	2	2	1	2	3	5	5	5	7	4	5	5	3	8	2	151
OG0001026	5	3	2	5	4	4	1	4	2	4	2	4	4	4	5	4	4	6	7	5	4	2	2	2	3	2	4	3	2	4	2	6	3	3	2	7	3	3	8	2	2	3	151
OG0001027	2	2	2	2	5	4	2	3	3	3	2	5	14	4	7	3	3	4	8	5	4	2	2	1	4	2	4	2	2	4	3	3	4	4	1	5	4	4	4	2	1	6	151
OG0001028	2	2	0	2	4	4	4	3	4	3	3	6	3	5	3	4	4	5	8	4	3	2	4	2	3	3	3	2	3	4	3	3	5	5	2	9	4	4	5	2	2	5	151
OG0001029	3	4	3	3	3	5	2	3	2	4	5	5	5	3	3	4	3	7	8	4	3	2	3	3	3	4	5	4	3	3	3	5	2	2	3	4	2	2	5	4	3	4	151
OG0001030	2	3	3	2	3	5	3	2	3	8	3	5	10	6	6	7	3	7	10	7	3	4	3	3	4	2	4	2	2	3	2	4	1	1	1	2	1	1	5	2	1	2	151
OG0001031	4	3	4	4	5	5	2	3	2	3	2	5	7	2	4	2	3	4	7	6	4	4	2	2	5	5	3	4	2	4	4	5	3	3	1	5	3	3	5	2	1	4	151
OG0001032	2	2	5	3	2	3	3	2	3	2	2	6	7	4	3	4	3	6	10	3	2	3	2	3	4	4	3	4	2	2	3	7	3	6	3	6	3	3	4	3	3	3	151
OG0001033	4	3	4	3	5	2	3	3	2	6	2	5	5	5	6	4	3	5	6	3	4	3	3	4	3	4	2	4	3	4	2	4	3	3	2	5	3	3	5	3	2	2	150
OG0001034	4	3	2	2	5	3	3	4	2	3	2	4	4	4	2	4	6	9	6	5	4	4	2	2	3	2	3	3	3	4	4	3	3	3	1	3	5	3	10	2	2	4	150
OG0001035	4	2	2	3	5	3	2	4	3	4	3	7	5	4	4	3	5	7	6	7	4	1	2	2	4	4	2	3	2	4	2	5	3	3	2	4	3	3	4	4	2	4	150
OG0001036	1	2	3	1	6	4	3	3	3	3	4	5	6	4	5	4	4	4	9	5	5	2	3	3	5	1	3	1	3	5	3	1	4	4	3	4	4	4	6	1	2	4	150
OG0001037	3	5	3	3	2	3	2	2	3	4	2	5	3	3	3	4	2	6	10	4	2	4	2	2	4	3	3	3	3	2	3	4	5	5	2	6	5	5	5	3	3	4	150
OG0001038	6	3	0	4	4	2	3	4	2	12	2	3	6	3	11	2	8	2	4	4	3	2	2	3	4	4	2	5	3	3	2	4	3	3	1	4	3	2	5	2	1	4	150
OG0001039	2	2	2	2	4	4	3	3	3	2	6	8	5	5	8	5	9	4	5	8	4	4	3	3	2	2	4	2	3	4	3	1	2	2	1	3	3	2	5	2	1	4	150
OG0001040	5	1	3	4	3	7	1	1	0	6	5	5	7	6	8	4	5	6	11	1	4	4	3	3	3	4	4	4	2	4	9	3	0	0	4	0	0	0	2	4	4	0	150
OG0001041	5	3	5	3	4	2	2	3	2	2	2	4	3	3	2	3	4	9	8	5	4	4	2	2	2	3	2	3	2	4	2	4	5	4	2	7	4	4	7	2	2	5	150
OG0001042	6	2	2	3	2	3	2	1	2	7	3	5	8	4	6	4	1	3	8	4	1	4	2	2	2	2	3	2	3	2	3	4	5	5	2	7	5	5	5	2	2	6	150
OG0001043	3	2	3	2	3	4	5	3	3	2	6	3	4	4	3	4	4	3	5	2	3	3	4	4	2	2	3	2	4	5	2	2	5	6	4	7	6	3	4	1	6	4	150
OG0001044	2	3	4	1	2	9	0	2	3	11	1	1	12	2	7	1	4	5	15	1	2	3	1	1	6	1	8	1	1	2	3	1	3	6	1	8	5	3	3	3	1	1	150
OG0001045	0	0	3	0	0	0	0	0	1	0	0	0	41	0	71	0	0	0	0	6	0	0	23	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	150
OG0001046	0	0	0	0	0	0	6	0	0	1	27	9	3	8	0	2	0	0	2	12	0	0	23	9	6	0	1	0	9	0	24	0	0	0	0	0	0	0	0	8	0	0	150
OG0001047	62	1	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	18	0	23	0	0	0	4	0	0	1	0	0	0	0	0	0	0	149
OG0001048	2	4	4	3	4	3	2	3	3	4	2	5	6	4	3	4	3	7	6	6	3	3	2	2	4	3	3	3	2	3	2	5	3	3	2	5	3	3	8	2	2	5	149
OG0001049	5	3	4	4	2	1	1	3	3	4	5	3	4	3	3	3	1	5	5	6	2	5	3	2	3	5	2	6	2	2	3	7	3	3	2	6	3	3	8	4	2	5	149
OG0001050	4	3	0	4	4	4	2	4	2	4	1	4	3	4	2	4	4	9	8	5	4	3	2	1	2	3	4	4	2	4	3	6	4	4	2	7	4	3	5	2	2	3	149
OG0001051	10	1	0	5	1	4	1	1	3	5	5	4	2	2	3	2	3	5	8	5	1	6	6	3	7	12	8	12	2	1	4	11	0	0	2	0	0	0	1	1	2	0	149
OG0001052	5	3	3	4	6	3	4	4	2	4	3	5	4	6	2	4	7	2	6	4	4	4	3	3	3	4	3	4	2	4	2	4	2	2	2	4	2	2	7	3	2	2	149
OG0001053	5	2	2	5	4	4	1	4	2	3	3	5	5	3	3	3	4	5	8	4	4	2	2	2	3	4	4	5	2	4	2	4	3	3	2	5	3	3	8	2	2	5	149
OG0001054	3	1	2	3	4	3	2	3	3	2	2	7	6	6	4	4	3	8	9	7	3	4	2	2	4	3	4	3	2	3	2	5	2	2	1	6	2	4	5	2	1	5	149
OG0001055	3	2	6	3	3	2	3	3	3	3	3	4	6	5	4	3	3	4	6	3	4	3	3	3	3	4	1	4	3	3	3	6	4	3	3	5	4	4	3	4	2	5	149
OG0001056	4	3	2	5	3	1	2	4	3	5	2	6	7	3	4	2	5	6	2	3	3	4	2	2	2	5	1	5	2	3	2	9	3	3	2	7	3	4	8	2	2	3	149
OG0001057	5	2	4	4	5	3	2	6	4	6	3	3	6	3	3	2	11	2	4	8	5	4	3	3	2	3	2	3	2	5	3	4	2	2	1	4	2	1	2	6	2	2	149
OG0001058	3	2	1	3	3	4	1	4	3	5	5	4	4	6	5	5	4	4	7	6	4	2	4	3	3	3	4	2	3	4	2	3	3	3	3	3	3	3	6	2	3	4	149
OG0001059	2	2	2	2	4	4	2	4	2	2	4	6	3	5	3	4	4	3	8	5	4	2	4	2	2	3	3	2	2	4	2	3	5	5	2	5	5	4	9	2	2	6	149
OG0001060	5	3	1	1	4	1	0	6	4	5	4	1	5	4	4	4	10	2	1	7	5	0	2	2	5	4	2	6	3	8	18	4	1	1	3	1	1	1	1	2	3	4	149
OG0001061	2	2	3	2	4	4	2	4	3	3	2	4	7	4	4	4	4	6	8	4	4	2	2	2	4	2	5	2	2	2	2	4	4	4	1	9	4	3	6	2	1	6	149
OG0001062	2	3	2	2	5	3	2	4	3	4	2	4	5	6	3	5	5	3	5	4	6	3	4	4	4	2	3	3	3	6	4	2	2	2	2	6	3	2	7	3	2	4	149
OG0001063	1	1	2	1	5	0	6	2	4	11	3	7	12	6	12	4	3	1	5	3	3	0	1	3	2	1	2	1	8	4	9	0	3	3	1	5	3	3	2	2	1	3	149
OG0001064	2	2	2	4	4	2	2	4	3	4	2	4	4	4	2	4	4	8	6	6	4	4	2	2	4	4	3	4	1	4	2	5	4	4	1	5	4	4	7	2	1	5	149
OG0001065	0	0	0	0	8	3	6	6	5	5	4	9	0	6	0	4	13	0	4	1	5	0	5	5	1	0	2	0	3	6	1	0	6	7	1	8	7	8	5	0	1	4	149
OG0001066	2	3	3	1	3	3	3	3	3	4	3	4	7	5	3	4	3	7	8	8	3	4	3	3	3	1	4	1	3	3	3	2	3	3	2	5	3	3	7	2	2	5	148
OG0001067	4	2	2	3	5	1	1	2	1	7	2	3	9	3	4	1	5	2	5	5	8	3	7	1	3	3	1	3	3	7	2	2	4	3	5	7	3	2	3	2	7	2	148
OG0001068	63	5	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	28	0	22	0	0	0	3	0	0	0	0	0	0	0	0	0	0	148
OG0001069	4	3	3	2	3	3	3	3	3	3	2	6	4	3	5	4	3	3	4	3	4	3	2	2	3	2	3	3	2	3	2	9	5	4	3	7	5	5	6	2	1	5	148
OG0001070	2	1	1	2	3	4	2	3	4	2	2	6	5	5	3	4	3	5	10	10	3	4	2	2	3	2	4	2	2	3	11	4	2	2	2	5	2	2	8	2	2	2	148
OG0001071	3	3	2	2	3	2	3	3	1	2	4	4	5	7	4	4	3	4	7	6	3	5	3	3	4	2	2	2	4	3	4	4	3	3	3	5	3	3	4	5	3	5	148
OG0001072	4	3	2	3	2	3	3	2	2	4	3	4	3	6	4	5	2	3	6	5	2	4	3	3	4	3	3	4	3	2	3	5	5	4	1	7	4	4	4	2	2	7	148
OG0001073	9	9	13	4	1	2	1	1	1	2	1	2	1	2	1	1	1	13	4	2	1	10	1	1	2	15	2	18	2	1	1	8	1	1	1	3	1	2	1	2	2	1	148
OG0001074	6	4	5	4	4	3	2	2	3	0	2	5	2	2	2	2	3	5	5	2	4	4	2	1	3	5	3	5	2	4	2	7	6	7	2	5	5	4	4	3	2	5	148
OG0001075	3	5	4	2	4	3	2	4	2	3	2	6	4	4	6	3	3	7	6	5	2	4	2	2	2	3	2	3	3	3	2	3	3	4	2	7	4	4	6	1	3	5	148
OG0001076	14	1	0	5	3	6	1	3	1	2	2	1	10	3	7	2	2	6	11	2	3	3	3	2	2	4	3	5	2	2	1	6	2	2	3	7	2	2	6	2	1	3	148
OG0001077	3	4	3	3	3	3	2	3	2	4	2	4	4	3	4	4	3	3	4	3	4	4	2	2	4	3	3	3	2	4	2	3	6	6	2	9	6	6	5	2	2	4	148
OG0001078	2	2	2	3	3	6	1	3	3	3	4	3	7	3	6	3	3	2	10	6	3	3	3	2	3	3	5	3	2	3	2	4	4	4	2	6	4	4	6	2	2	3	148
OG0001079	2	3	2	3	3	4	3	2	3	3	3	4	7	5	5	4	2	4	8	5	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	5	3	3	6	148
OG0001080	3	2	1	3	3	3	3	3	2	3	2	3	5	5	5	3	3	6	6	7	4	4	3	2	5	3	3	3	3	3	3	3	3	3	2	6	4	3	7	3	3	4	148
OG0001081	3	1	1	1	0	21	1	0	3	17	0	2	2	1	4	1	0	1	24	11	0	0	7	1	15	1	17	3	1	0	5	2	0	0	0	0	0	0	0	1	0	1	148
OG0001082	2	2	1	2	4	2	3	3	2	7	3	7	6	8	3	6	3	4	7	8	4	4	3	3	4	2	4	2	3	4	5	3	2	2	2	3	2	2	4	2	2	3	148
OG0001083	2	2	3	3	3	4	2	4	2	3	6	3	4	3	6	3	6	2	6	2	4	3	3	3	4	4	5	3	2	3	3	3	4	4	4	6	4	4	5	2	3	3	148
OG0001084	1	2	3	1	4	5	3	3	2	4	3	4	3	4	4	4	4	5	7	3	3	7	3	3	3	1	3	1	4	3	3	2	4	3	3	6	3	4	5	5	5	5	148
OG0001085	1	1	0	1	3	4	3	3	3	6	2	3	9	5	5	4	3	8	10	7	3	2	4	3	4	1	4	1	3	3	3	2	3	3	3	6	3	2	5	2	3	4	148
OG0001086	0	0	0	0	2	0	2	1	5	0	1	4	0	7	0	4	2	0	3	2	5	0	2	3	1	0	1	0	5	2	2	0	15	27	0	18	14	7	1	1	0	11	148
OG0001087	2	2	2	2	2	4	3	3	2	3	2	6	5	4	4	5	3	5	9	7	2	4	2	3	3	2	4	2	3	2	3	2	4	4	2	6	4	4	5	2	2	7	147
OG0001088	7	1	2	4	2	5	3	1	1	7	2	3	9	1	7	2	8	3	8	2	3	2	2	3	3	5	3	1	1	2	1	2	4	4	5	6	4	3	5	3	4	3	147
OG0001089	2	3	3	2	6	3	2	3	1	5	3	5	6	5	4	4	3	5	7	4	4	2	3	3	5	3	2	3	3	4	4	3	3	3	2	5	3	3	5	3	2	3	147
OG0001090	2	1	0	2	3	4	2	2	2	6	5	6	5	6	2	5	3	2	4	4	3	2	6	5	5	2	3	1	6	5	17	1	2	2	5	2	1	2	1	5	3	2	147
OG0001091	3	3	2	3	3	5	3	3	2	3	2	4	7	3	6	3	3	5	12	4	2	3	4	3	4	4	5	4	4	3	3	4	3	2	2	3	2	2	2	5	2	2	147
OG0001092	2	3	2	1	3	3	2	3	4	3	3	7	3	6	3	4	4	5	8	5	3	4	3	2	3	2	6	3	2	3	3	2	3	3	3	6	3	5	4	4	3	3	147
OG0001093	2	2	2	3	4	4	2	4	3	4	3	5	2	5	3	4	4	5	6	3	4	3	3	3	3	3	3	2	2	4	3	3	4	4	3	5	4	5	6	4	3	3	147
OG0001094	2	2	3	2	2	7	4	1	3	3	2	3	10	4	9	2	3	1	10	5	1	2	2	3	3	2	7	3	4	2	3	2	3	5	5	5	4	2	3	3	3	2	147
OG0001095	4	3	4	3	2	3	1	3	2	3	4	5	4	3	2	3	4	5	5	3	2	2	3	2	4	1	3	1	3	2	2	2	5	6	5	12	6	7	4	2	4	3	147
OG0001096	3	4	4	2	5	5	2	3	2	6	4	5	5	5	3	2	4	4	8	7	4	3	3	2	3	3	4	2	2	4	3	2	2	2	2	5	2	2	6	2	2	4	147
OG0001097	3	2	3	3	3	3	1	4	2	4	3	4	8	3	3	3	4	3	6	4	3	3	2	2	3	4	3	4	2	3	1	5	5	6	2	7	5	4	7	3	1	3	147
OG0001098	2	4	5	2	3	3	2	3	2	2	2	4	8	4	5	3	3	6	7	3	3	5	2	2	3	3	3	3	2	3	3	4	3	3	2	4	4	4	7	2	2	7	147
OG0001099	2	1	2	2	6	2	2	5	2	3	3	4	8	5	5	4	5	4	8	6	5	2	3	2	3	3	3	3	3	4	2	3	3	3	1	5	3	3	6	2	1	5	147
OG0001100	0	0	0	0	4	6	2	3	3	6	3	5	7	4	5	3	4	4	14	6	5	3	2	2	5	0	7	0	2	5	3	0	3	2	3	7	2	3	5	2	2	5	147
OG0001101	4	3	3	4	3	3	3	3	3	3	3	6	3	3	3	4	3	5	2	4	3	5	3	1	4	3	3	3	3	3	3	4	4	4	2	4	4	4	7	4	2	5	146
OG0001102	3	3	2	3	3	3	2	3	5	3	3	5	3	5	3	5	3	5	9	4	3	2	3	3	3	3	3	3	3	3	3	3	4	4	2	5	4	5	4	2	2	4	146
OG0001103	4	3	4	4	4	3	3	3	2	5	3	4	5	3	3	4	3	6	6	6	4	3	3	3	4	3	3	2	3	4	3	4	3	3	2	3	3	3	4	2	2	4	146
OG0001104	1	2	1	1	5	6	4	3	2	7	3	3	4	4	3	3	4	3	11	4	4	2	3	4	6	0	3	0	3	4	4	0	6	5	2	5	4	4	6	3	2	2	146
OG0001105	2	2	5	1	2	3	1	4	2	4	6	4	4	5	3	4	3	5	10	6	3	2	3	3	3	2	6	1	4	3	3	2	4	4	3	5	4	4	3	3	2	3	146
OG0001106	4	3	1	2	3	3	2	4	4	3	2	4	3	3	3	3	6	9	4	5	4	6	2	2	2	1	3	2	2	4	2	3	4	4	2	8	4	4	7	2	2	5	146
OG0001107	5	4	2	5	2	2	2	2	1	1	1	7	4	7	3	6	2	10	7	3	1	3	1	5	4	6	3	6	3	2	1	7	4	3	1	4	3	3	4	2	1	3	146
OG0001108	4	4	3	3	4	3	2	3	1	3	3	8	3	6	2	3	4	9	5	5	3	7	3	3	3	3	3	3	3	3	3	3	3	2	3	3	2	2	3	3	3	4	146
OG0001109	3	3	2	2	5	4	3	3	3	5	3	5	5	6	4	5	3	4	8	5	4	3	3	3	3	2	4	2	3	5	3	2	3	2	2	4	2	2	5	2	2	4	146
OG0001110	1	1	6	1	5	1	5	4	1	3	4	3	2	11	2	3	3	3	3	6	2	1	5	3	5	1	1	1	4	1	10	1	4	4	6	4	3	4	8	1	1	8	146
OG0001111	1	4	2	2	4	4	3	2	2	3	3	6	5	4	4	4	4	5	10	8	3	3	2	2	3	2	5	2	2	3	3	6	2	2	2	3	2	2	6	4	2	5	146
OG0001112	2	2	2	3	4	3	6	3	3	3	2	4	9	5	4	5	3	8	6	6	4	3	2	3	4	2	3	2	3	4	3	3	2	2	3	3	2	2	5	2	3	3	146
OG0001113	2	2	2	2	3	1	3	3	4	4	2	4	5	6	5	4	1	5	4	3	4	4	3	4	3	2	3	2	3	4	3	3	5	5	2	5	5	5	4	4	1	7	146
OG0001114	2	4	2	1	2	4	2	4	4	5	2	6	9	4	5	4	4	7	12	3	3	3	2	1	5	2	4	1	2	3	2	2	2	2	2	4	2	2	9	2	2	3	146
OG0001115	2	1	1	0	4	5	3	3	3	3	2	6	3	5	2	3	5	7	12	5	5	4	3	4	3	1	4	1	3	4	3	1	4	4	0	8	4	4	4	3	1	3	146
OG0001116	2	2	2	3	5	1	3	4	1	3	6	4	5	5	3	4	4	3	3	6	4	3	4	4	4	3	2	4	4	5	5	4	3	3	3	3	3	3	4	3	3	2	145
OG0001117	6	3	2	6	3	3	2	3	3	4	2	3	7	2	4	2	2	6	6	7	3	4	2	1	3	6	3	6	2	3	2	6	3	3	1	5	4	2	4	2	1	3	145
OG0001118	4	3	1	3	2	5	3	2	3	4	3	6	4	5	4	5	3	5	7	6	2	4	3	2	2	3	5	3	3	2	2	4	3	3	1	5	3	3	6	3	1	4	145
OG0001119	2	2	2	2	3	1	2	3	2	5	3	6	4	6	3	4	3	11	6	5	3	3	3	3	3	3	2	3	3	4	4	3	4	3	1	6	3	3	7	2	1	3	145
OG0001120	1	1	1	1	5	4	2	4	4	6	3	7	8	5	5	5	4	3	7	2	5	2	3	3	4	1	4	0	3	5	3	0	3	3	3	5	4	3	4	2	2	5	145
OG0001121	10	1	0	2	3	5	2	2	3	4	2	8	3	6	3	4	2	5	9	5	3	4	2	2	4	1	2	1	2	3	3	2	4	4	1	7	4	5	5	2	1	4	145
OG0001122	6	1	3	4	3	4	2	4	1	3	3	5	5	2	3	1	4	5	3	4	3	3	4	1	3	4	4	4	2	3	3	4	6	5	2	5	5	3	3	6	2	4	145
OG0001123	3	2	1	3	2	4	3	3	3	4	4	7	5	4	5	5	3	5	5	5	3	3	3	4	3	3	4	3	4	3	3	3	3	3	3	4	3	3	3	3	2	3	145
OG0001124	3	2	2	4	4	6	2	3	4	2	2	6	6	5	5	3	3	4	10	5	2	2	2	3	3	4	4	4	2	2	2	4	2	2	2	4	2	2	6	2	2	6	145
OG0001125	5	1	2	2	7	4	2	3	3	5	4	4	7	3	2	5	7	2	2	3	5	2	3	5	5	2	5	2	2	3	7	4	2	2	4	5	2	2	4	2	3	1	145
OG0001126	3	1	2	5	6	3	2	4	3	4	6	3	5	2	2	2	6	3	4	5	5	3	2	2	3	4	3	4	3	5	3	2	5	5	2	6	5	3	3	2	2	2	145
OG0001127	4	3	2	5	2	6	2	2	3	4	2	4	5	4	4	2	3	11	10	3	2	4	2	2	3	2	5	5	2	2	2	3	3	3	2	6	3	3	3	2	2	3	145
OG0001128	4	3	3	3	4	2	2	2	1	4	3	5	3	4	3	4	3	12	9	4	4	4	2	2	3	4	2	4	2	4	2	5	2	3	2	4	2	2	6	2	2	4	145
OG0001129	0	1	1	0	2	2	4	2	3	2	3	8	1	9	1	17	4	1	2	2	2	0	12	6	3	0	2	0	1	2	5	0	4	5	4	7	4	3	4	5	7	4	145
OG0001130	4	3	2	2	3	4	2	3	4	7	3	2	9	3	4	3	3	3	9	4	3	2	2	2	3	2	3	2	2	3	2	3	3	3	3	6	3	3	7	3	4	3	144
OG0001131	7	3	2	3	5	3	2	5	3	7	3	4	2	5	4	4	6	5	6	6	5	4	3	4	3	3	3	3	5	4	3	2	1	1	1	3	1	1	3	3	2	1	144
OG0001132	3	3	3	2	4	2	2	3	3	3	2	3	5	4	3	3	2	6	6	5	4	4	2	2	3	3	3	3	2	4	2	3	4	4	2	7	4	4	6	3	2	6	144
OG0001133	2	2	4	1	4	2	2	6	2	5	4	3	5	4	4	3	7	2	5	4	5	2	2	2	1	4	5	3	2	4	4	3	6	5	1	4	4	4	7	2	2	1	144
OG0001134	2	3	1	2	3	5	3	4	3	4	3	6	3	6	3	5	2	4	7	5	4	3	2	2	5	2	5	2	3	4	3	1	3	5	1	5	3	3	7	2	0	5	144
OG0001135	6	3	2	4	2	2	1	1	2	1	2	6	10	5	4	3	1	10	4	5	3	4	2	2	3	7	1	7	2	4	3	8	2	2	1	6	2	3	2	2	1	3	144
OG0001136	2	2	1	2	6	3	3	2	3	3	3	6	6	6	3	5	2	3	7	9	5	5	3	3	4	2	3	2	3	5	4	3	2	2	1	4	2	2	5	4	1	2	144
OG0001137	3	4	2	3	2	3	3	3	2	5	3	6	5	5	4	3	2	3	4	5	2	2	3	2	4	3	3	3	4	2	3	5	5	4	2	6	4	4	4	2	2	5	144
OG0001138	3	2	3	2	4	5	3	4	3	3	3	3	4	4	4	4	4	4	8	3	4	2	3	3	4	2	4	2	4	4	3	2	3	3	2	5	4	3	6	2	3	3	144
OG0001139	4	4	2	4	3	3	1	3	3	4	2	3	7	3	5	4	3	6	6	4	3	3	3	2	3	5	3	5	2	3	2	5	2	2	4	4	3	3	6	1	3	3	144
