	AM_refseq_aegilops_tauschii	AM_refseq_ananas_comosus	AM_refseq_asparagus_officinalis	AM_refseq_brachypodium_distachyon	AM_refseq_cajanus_cajan	AM_refseq_capsicum_annuum	AM_refseq_carica_papaya	AM_refseq_cicer_arietinum	AM_refseq_cucumis_melo	AM_refseq_daucus_carota	AM_refseq_fragaria_vesca	AM_refseq_gossypium_arboreum	AM_refseq_helianthus_annuus	AM_refseq_hevea_brasiliensis	AM_refseq_lactuca_sativa	AM_refseq_manihot_esculenta	AM_refseq_medicago_truncatula	AM_refseq_musa_acuminata	AM_refseq_nicotiana_tabacum	AM_refseq_olea_europaea	AM_refseq_phaseolus_vulgaris	AM_refseq_phoenix_dactylifera	AM_refseq_prunus_persica	AM_refseq_ricinus_communis	AM_refseq_sesamum_indicum	AM_refseq_setaria_italica	AM_refseq_solanum_lycopersicum	AM_refseq_sorghum_bicolor	AM_refseq_theobroma_cacao	AM_refseq_vigna_radiata	AM_refseq_vitis_vinifera	AM_refseq_zea_mays	NM_refseq_arabidopsis_lyrata	NM_refseq_arabidopsis_thaliana	NM_refseq_beta_vulgaris	NM_refseq_brassica_rapa	NM_refseq_capsella_rubella	NM_refseq_eutrema_salsugineum	NM_refseq_lupinus_angustifolius	NM_refseq_nelumbo_nucifera	NM_refseq_spinacia_oleracea	NM_refseq_tarenaya_hassleriana	Total
OG0000010	2	0	0	0	93	37	12	38	30	60	87	61	114	108	123	31	229	0	73	3	63	0	133	28	0	0	22	0	19	86	106	0	11	6	0	13	11	9	16	27	0	19	1670
OG0000011	22	124	84	6	174	16	9	79	15	62	23	140	55	18	32	19	33	5	67	114	0	69	10	5	12	6	54	33	15	33	27	34	1	0	123	6	6	9	1	0	67	36	1644
OG0000012	63	2	33	17	9	99	0	16	6	48	30	11	140	27	201	17	67	0	228	223	0	0	87	0	0	36	3	25	2	0	0	43	1	10	71	16	5	4	20	0	42	9	1611
OG0000013	92	9	27	13	1	53	0	14	0	56	17	15	91	12	163	7	63	0	138	76	5	0	36	23	21	1	34	5	1	144	6	2	60	3	102	76	25	47	6	7	104	31	1586
OG0000014	0	0	10	0	0	205	0	0	41	8	1	0	93	0	38	0	0	0	357	226	0	0	61	0	0	0	98	0	38	0	14	0	35	0	0	101	30	179	0	0	1	4	1540
OG0000015	19	64	49	1	36	96	8	29	29	5	10	177	222	86	33	20	31	0	165	105	2	11	4	23	8	1	48	4	52	21	0	15	0	1	71	7	2	5	27	7	16	19	1529
OG0000016	115	0	250	45	7	0	0	3	0	48	48	0	138	0	54	12	43	0	6	4	0	1	22	0	0	35	0	79	0	0	0	156	24	2	74	168	22	84	0	0	59	0	1499
OG0000017	2	1	4	0	25	2	6	18	0	19	50	27	43	2	43	1	163	2	8	7	34	3	12	4	3	0	4	0	19	19	5	0	229	149	31	153	172	132	7	8	61	12	1480
OG0000018	20	6	73	5	45	115	14	71	19	33	11	129	51	46	20	42	21	0	29	122	1	14	47	47	1	4	23	2	24	81	34	0	7	3	15	14	6	13	209	16	4	29	1466
OG0000019	0	0	13	1	42	111	0	22	2	14	4	50	154	24	127	14	6	0	236	134	0	2	7	31	1	0	35	16	7	64	13	0	0	0	56	1	5	74	29	16	61	23	1395
OG0000020	2	0	4	0	235	0	0	0	0	58	3	0	70	1	1	83	11	84	7	167	1	3	22	1	66	0	0	7	0	149	1	13	0	0	167	0	0	1	40	44	125	0	1366
OG0000021	69	37	175	32	7	12	2	6	37	17	16	28	54	15	63	3	65	1	42	80	1	11	13	2	17	84	9	51	14	24	11	122	17	6	42	36	12	14	11	21	40	3	1322
OG0000022	54	20	75	4	51	9	0	24	8	27	26	7	96	90	99	10	21	6	101	29	68	6	2	1	4	11	21	54	0	16	99	125	9	4	0	16	3	12	69	21	17	5	1320
OG0000023	19	5	14	10	19	40	5	11	8	88	32	91	39	55	40	45	68	1	41	11	34	2	38	9	17	19	37	9	82	26	27	6	63	36	18	62	45	30	1	7	8	14	1232
OG0000024	223	0	20	17	14	3	0	2	1	1	1	1	338	0	153	3	15	0	15	0	3	0	0	1	0	47	8	61	0	5	0	47	9	2	93	10	3	1	20	0	90	6	1213
OG0000025	41	44	10	13	30	20	6	23	4	44	32	39	14	57	15	37	75	14	42	36	71	24	40	17	14	21	16	23	41	59	99	20	17	10	4	14	19	7	17	18	5	3	1155
OG0000026	1	1	44	0	53	52	1	0	2	5	12	20	113	3	10	14	12	0	163	21	22	71	5	0	23	0	10	1	12	0	2	0	13	4	110	39	27	20	36	4	145	26	1097
OG0000027	75	46	25	27	19	13	4	6	8	43	38	33	42	90	29	54	47	15	20	8	17	30	29	28	16	49	11	41	20	11	14	28	17	6	17	20	10	9	9	18	23	8	1073
OG0000028	63	17	2	24	14	10	4	5	9	31	40	31	79	45	37	31	20	23	27	54	18	23	31	10	19	37	10	41	7	11	39	19	25	20	41	24	18	10	3	43	32	14	1061
OG0000029	91	44	115	13	46	10	1	34	21	31	3	90	38	33	1	33	3	0	94	4	20	1	4	2	25	17	22	33	1	14	30	63	3	3	16	3	3	3	36	2	22	3	1031
OG0000030	1	5	0	2	40	33	6	18	0	1	26	55	104	66	39	33	96	10	24	20	90	5	37	16	2	2	6	2	38	38	111	1	2	2	23	2	2	2	5	28	4	3	1000
OG0000031	152	13	9	3	24	70	3	4	8	7	17	41	119	34	19	54	1	3	69	7	21	19	20	1	0	13	7	31	6	8	45	4	8	0	6	23	0	1	55	40	8	22	995
OG0000032	0	0	1	0	39	7	9	17	22	29	38	8	111	61	81	26	44	16	25	74	27	5	47	10	11	0	7	0	34	32	96	0	11	10	10	4	6	2	7	22	15	7	971
OG0000033	4	0	6	0	6	0	0	0	0	20	4	6	28	1	27	31	0	10	265	43	0	7	75	0	18	1	0	0	0	4	34	1	8	1	53	63	15	113	0	37	86	0	967
OG0000034	66	17	33	26	4	30	5	10	8	18	78	21	11	18	4	12	61	30	39	15	2	21	40	11	4	22	23	20	20	2	22	13	36	20	37	22	34	19	15	9	63	5	966
OG0000035	62	0	87	7	2	49	0	0	0	56	30	36	77	0	49	0	6	0	77	11	0	2	7	0	14	0	61	39	6	0	0	72	5	0	49	31	8	60	0	0	50	2	955
OG0000036	11	3	34	7	5	17	2	16	2	5	14	40	65	64	30	6	5	1	28	96	0	35	7	35	5	8	1	19	8	18	2	6	13	1	74	13	14	95	41	14	13	66	939
OG0000037	40	7	14	16	52	27	11	15	14	57	27	14	61	30	52	19	40	13	38	39	26	25	22	15	15	23	23	21	33	20	24	20	11	6	2	13	5	8	8	12	6	2	926
OG0000038	20	21	11	11	21	16	19	11	12	12	28	40	25	45	19	36	14	46	31	23	19	30	27	27	16	14	15	13	33	19	37	22	17	17	10	25	17	16	21	32	8	22	918
OG0000039	5	1	2	5	37	31	14	25	27	22	22	23	47	26	35	34	29	4	45	14	34	2	19	30	14	9	21	8	27	21	40	7	25	22	11	44	26	22	10	33	7	34	914
OG0000040	38	58	8	13	11	15	4	2	6	25	31	41	48	58	13	25	24	51	28	29	12	17	57	23	10	16	8	8	28	19	83	4	2	1	6	2	1	1	1	17	4	4	852
OG0000041	5	9	1	5	10	56	3	4	0	80	14	22	34	12	17	11	4	6	96	79	8	21	24	8	55	3	37	1	20	17	48	1	24	20	10	17	25	9	2	11	7	7	843
OG0000042	22	3	9	8	22	23	15	19	22	45	15	35	29	21	18	16	29	4	23	28	30	8	30	16	27	9	14	7	31	31	17	6	27	26	15	33	28	29	16	9	12	14	841
OG0000043	0	0	4	0	17	18	7	13	12	0	78	84	51	74	54	80	82	0	0	30	24	3	14	15	1	0	8	0	53	20	50	0	0	0	10	0	0	0	5	15	3	1	826
OG0000044	21	11	99	6	29	13	0	64	3	46	0	59	41	27	26	36	39	0	17	2	57	0	1	1	17	4	16	12	0	18	16	9	11	4	16	3	12	0	57	0	30	0	823
OG0000045	9	25	2	3	39	16	3	10	12	2	14	70	4	87	1	63	92	3	13	8	46	20	18	11	6	7	6	6	33	32	35	2	0	0	46	0	0	0	7	9	42	0	802
OG0000046	74	7	13	20	12	13	9	26	32	20	20	15	12	35	13	26	32	67	35	13	15	19	21	16	8	30	10	21	14	17	30	10	4	3	9	2	4	2	15	16	11	13	784
OG0000047	32	7	33	16	4	140	7	4	3	15	11	43	18	26	3	7	31	3	86	65	3	6	21	18	12	21	40	12	39	2	29	8	1	0	2	0	0	0	2	12	1	0	783
OG0000048	30	11	6	18	26	17	17	20	20	24	13	32	25	23	22	24	25	10	37	9	20	3	14	20	20	20	14	15	13	16	25	16	10	11	25	13	14	11	23	23	23	18	776
OG0000049	39	11	6	14	19	19	10	12	18	43	9	22	21	22	24	19	13	19	31	20	11	12	10	13	14	18	29	22	9	12	11	22	15	20	16	32	32	18	18	13	20	17	775
OG0000050	44	2	5	11	24	20	4	8	6	52	20	36	30	47	52	25	44	20	20	28	20	23	34	6	3	9	9	8	20	23	39	3	5	2	6	2	6	1	13	23	8	6	767
OG0000051	0	0	4	0	13	9	1	22	5	66	25	27	79	15	17	46	41	0	30	5	11	4	13	2	20	0	5	0	10	26	12	0	34	25	46	21	23	28	10	9	14	49	767
OG0000052	73	25	10	15	13	20	14	5	9	19	13	21	26	43	25	31	17	16	16	23	9	16	19	13	12	20	5	29	19	8	55	25	13	16	7	9	10	14	5	7	8	5	758
OG0000053	0	1	8	0	0	21	0	10	0	7	0	0	169	0	60	0	90	0	50	0	17	0	0	0	0	0	0	0	0	0	0	0	64	6	10	67	37	81	19	0	12	0	729
OG0000054	11	10	10	11	23	17	12	15	15	23	12	27	25	24	16	22	18	33	31	31	22	21	12	13	14	12	15	13	14	21	13	15	13	13	7	24	13	13	28	14	8	17	721
OG0000055	30	2	9	14	7	21	2	6	0	29	14	33	34	18	28	12	13	8	17	8	21	28	5	18	14	22	11	17	13	14	19	9	15	17	45	40	20	24	0	6	25	15	703
OG0000056	85	7	8	28	20	26	3	18	0	16	10	14	21	15	30	15	44	14	37	25	25	10	8	17	14	36	22	32	14	21	7	31	0	0	6	0	0	0	15	0	6	1	701
OG0000057	28	5	1	10	24	24	6	9	10	17	24	29	33	19	20	20	17	18	40	17	15	2	18	11	22	22	16	24	10	15	29	20	10	21	10	23	21	10	3	6	7	13	699
OG0000058	16	17	6	9	18	13	8	4	3	17	8	16	26	21	11	15	23	11	10	16	21	9	22	9	4	9	5	13	11	17	25	10	28	27	25	46	39	23	8	18	29	26	692
OG0000059	0	0	10	0	13	59	0	19	1	20	5	30	65	6	32	10	11	0	116	89	0	2	16	17	4	0	2	3	6	12	19	0	1	0	21	4	4	27	24	10	16	12	686
OG0000060	20	0	80	15	0	0	0	2	0	33	6	0	39	0	8	0	46	0	0	0	0	0	0	0	0	24	0	54	0	0	0	52	16	4	0	134	25	118	0	0	1	0	677
OG0000061	51	12	3	26	6	72	2	0	5	37	17	28	3	49	0	10	5	5	9	11	13	14	26	7	1	32	5	23	13	5	64	7	10	13	30	8	10	6	1	6	22	4	671
OG0000062	15	4	17	5	20	26	10	11	16	22	21	22	22	33	11	20	28	1	35	15	9	9	20	23	5	14	26	9	29	12	34	8	11	8	9	8	8	8	12	16	7	6	645
OG0000063	10	3	11	5	14	8	9	2	0	8	0	3	323	2	64	2	18	0	35	11	4	2	0	1	0	1	2	1	5	0	34	5	0	0	12	0	0	0	19	9	10	0	633
OG0000064	42	4	16	1	20	51	6	19	13	5	3	15	65	16	41	14	4	0	87	25	0	18	9	5	5	3	7	5	4	16	9	8	0	0	20	2	0	3	26	25	18	3	633
OG0000065	16	0	7	8	47	34	1	1	0	10	10	49	9	13	0	27	12	0	143	34	1	37	2	5	8	1	3	6	6	0	0	0	4	0	41	1	4	3	15	2	62	0	622
OG0000066	20	12	9	5	8	11	10	7	7	28	3	15	17	18	8	29	19	7	9	7	10	12	4	12	11	13	11	11	13	9	15	5	37	35	12	52	36	29	6	8	10	22	622
OG0000067	17	5	7	9	14	29	40	14	5	36	16	10	10	17	10	14	37	10	32	21	13	8	15	9	11	6	19	11	9	11	17	10	8	7	7	11	7	12	48	6	10	9	617
OG0000068	19	8	8	6	27	24	9	13	8	17	19	19	19	10	28	9	37	0	30	21	14	3	15	6	18	10	22	8	12	9	16	7	11	16	18	26	17	9	11	6	23	8	616
OG0000069	7	0	9	4	24	18	9	11	9	26	42	18	4	32	4	18	40	0	21	42	20	1	25	18	5	2	23	4	9	14	16	2	12	12	12	22	11	13	18	12	18	5	612
OG0000070	1	0	0	0	2	4	1	0	0	0	0	0	1	3	1	2	0	0	2	0	1	0	0	0	0	0	3	0	1	0	7	0	136	82	1	114	138	91	0	0	0	8	599
OG0000071	36	5	3	16	13	5	5	4	16	14	9	3	7	17	5	9	23	28	5	1	31	2	15	9	0	16	3	14	7	14	18	6	43	46	1	42	30	38	4	3	5	22	593
OG0000072	22	11	7	6	6	33	0	0	0	1	4	72	5	21	3	10	9	5	17	23	7	12	6	11	3	5	7	5	36	4	69	3	25	25	14	34	21	23	0	11	3	13	592
OG0000073	38	10	3	15	12	13	5	12	6	11	12	11	33	19	23	11	20	17	27	15	11	14	8	11	11	13	13	14	9	7	10	18	15	13	14	12	9	9	20	16	12	14	586
OG0000074	17	0	6	4	7	20	2	7	1	55	29	2	134	8	43	7	23	0	72	11	2	3	6	6	9	9	34	8	5	3	5	3	1	1	10	1	1	1	2	4	22	2	586
OG0000075	10	5	4	10	15	12	9	13	11	15	8	20	19	18	18	14	15	25	25	24	14	16	8	8	14	11	14	10	10	14	9	20	14	14	6	24	14	14	21	14	8	17	584
OG0000076	8	7	11	7	9	9	7	9	20	17	22	30	9	14	9	30	9	10	12	11	17	3	32	13	18	7	10	8	11	10	15	16	15	20	13	27	13	12	18	8	15	14	575
OG0000077	11	7	2	9	14	12	9	10	14	17	9	19	21	15	13	15	10	31	24	33	12	22	9	8	11	8	11	8	9	13	10	11	13	13	8	23	13	13	23	11	7	20	571
OG0000078	8	13	60	11	7	18	2	46	0	41	1	4	43	3	8	3	23	0	87	0	1	7	4	1	0	3	14	10	3	0	9	68	0	0	20	0	0	0	10	10	31	0	569
OG0000079	0	8	2	0	8	37	12	8	17	14	33	15	19	28	17	23	10	0	60	8	7	2	39	23	17	0	28	0	20	8	15	0	9	9	6	11	12	12	6	0	12	12	567
OG0000080	12	7	23	35	3	21	0	0	8	20	1	32	36	30	38	6	3	1	83	29	0	17	2	4	28	2	5	2	42	0	6	1	0	0	10	0	0	2	24	11	6	8	558
OG0000081	45	0	7	8	9	0	1	1	0	49	17	11	9	52	0	50	105	0	2	1	4	1	11	9	2	1	1	2	1	1	0	0	3	0	102	2	1	2	0	0	46	0	556
OG0000082	12	9	25	6	3	3	1	14	0	8	6	0	0	36	6	1	22	4	29	113	2	2	2	0	0	1	2	2	0	77	0	1	0	0	47	0	0	0	2	0	112	0	548
OG0000083	36	0	70	4	0	0	0	0	0	12	14	0	101	0	102	0	12	0	1	87	0	0	9	1	0	9	0	3	0	4	0	3	11	8	26	7	1	7	0	0	18	1	547
OG0000084	10	3	5	6	14	7	11	8	16	9	13	13	31	24	18	21	10	9	9	8	16	13	8	8	17	9	6	13	15	17	21	15	16	16	10	26	15	17	11	4	12	14	544
OG0000085	8	6	14	4	12	14	2	6	2	50	20	26	40	20	28	12	14	7	14	26	18	8	21	23	29	4	9	7	18	16	16	4	0	0	7	0	0	0	21	9	6	1	542
OG0000086	10	4	1	7	15	12	8	15	11	15	8	20	14	16	11	16	14	25	26	15	15	11	8	8	11	10	12	11	8	15	8	16	13	10	7	25	10	10	27	6	8	20	532
OG0000087	8	8	3	10	14	9	8	12	10	11	8	18	19	19	13	18	11	22	28	22	14	16	8	8	12	13	10	10	10	14	12	17	10	11	7	19	10	10	21	9	5	13	530
OG0000088	3	4	3	3	13	9	8	10	7	16	10	20	35	16	21	17	16	14	30	16	12	10	7	11	11	4	15	6	12	13	15	6	14	14	6	25	14	13	15	11	5	14	524
OG0000089	17	9	5	13	17	14	8	11	5	19	16	9	16	16	19	12	14	11	19	23	10	10	14	14	15	20	11	17	8	7	16	14	7	8	12	13	7	6	16	8	10	3	519
OG0000090	0	1	2	0	21	7	2	5	12	4	37	13	9	36	4	27	21	7	30	17	15	14	32	18	10	0	5	0	28	24	10	0	13	16	14	11	11	9	4	13	7	8	517
OG0000091	21	7	26	16	12	22	1	1	3	3	10	7	20	16	7	1	4	2	68	62	0	14	12	6	1	7	1	33	1	9	58	7	4	1	2	2	6	5	11	6	4	12	511
OG0000092	6	10	11	5	17	6	12	22	9	1	12	6	2	18	8	15	24	6	11	31	24	11	44	10	11	6	4	5	5	21	14	1	14	14	4	20	18	14	15	5	4	9	505
OG0000093	0	0	0	0	0	0	0	0	0	0	1	0	17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	126	98	0	91	99	70	0	0	0	2	505
OG0000094	19	10	8	13	10	24	10	5	7	24	10	8	38	6	24	6	12	14	11	13	10	10	8	3	10	14	20	14	6	12	19	13	3	8	13	13	6	4	6	9	23	8	504
OG0000095	21	0	67	8	0	0	0	0	0	90	0	0	179	0	17	0	10	0	0	0	0	0	0	0	0	2	0	6	0	0	0	5	0	0	25	0	0	0	0	0	72	0	502
OG0000096	104	2	12	28	3	8	2	0	1	27	37	9	29	4	15	5	1	7	25	5	0	10	5	6	7	40	7	40	13	0	2	19	1	1	4	1	1	1	6	6	6	1	501
OG0000097	13	7	11	8	21	13	7	9	10	11	9	16	25	21	16	15	16	18	17	9	18	8	10	9	9	6	13	7	9	18	9	14	9	9	5	16	8	9	18	9	4	9	498
OG0000098	9	10	9	10	11	12	8	8	7	12	8	13	12	15	8	11	9	21	25	15	9	9	8	8	11	12	13	13	8	10	7	14	16	15	8	22	14	15	19	8	9	12	493
OG0000099	68	0	0	8	4	0	1	0	0	21	13	14	2	5	0	11	15	0	2	4	0	0	1	4	1	4	0	6	0	0	0	0	28	26	45	86	32	60	0	2	25	0	488
OG0000100	13	12	14	5	12	11	4	5	6	20	24	10	40	10	27	8	12	8	6	26	12	7	8	6	5	6	11	12	3	13	2	6	10	16	19	13	15	4	10	6	22	6	485
OG0000101	12	2	27	6	1	20	1	14	9	6	3	13	60	4	39	6	4	1	72	47	1	4	6	2	7	2	7	19	7	6	11	2	4	1	13	3	2	8	2	6	16	8	484
OG0000102	8	7	0	2	7	20	4	2	4	0	0	36	18	48	18	51	16	0	22	24	18	4	0	16	1	4	5	2	18	16	19	0	18	11	5	14	8	8	3	20	5	1	483
OG0000103	0	0	0	0	1	0	9	0	4	1	7	63	0	1	0	0	0	0	0	0	1	0	7	0	0	0	0	0	31	1	0	0	58	118	0	38	62	52	0	0	0	28	482
OG0000104	5	1	13	4	28	26	0	45	3	20	2	0	2	27	10	9	14	0	120	15	10	3	2	6	0	7	37	9	4	2	1	13	2	0	3	0	0	0	2	0	34	2	481
OG0000105	24	12	15	10	26	6	8	13	1	14	17	15	22	19	10	16	17	8	13	12	19	16	15	11	7	11	7	13	12	14	8	11	5	5	5	9	8	4	11	3	3	5	480
OG0000106	9	10	8	9	13	8	6	11	10	16	9	11	13	14	8	13	13	18	16	14	13	10	9	9	16	11	8	12	9	14	8	8	10	11	7	18	11	10	22	6	9	16	476
OG0000107	9	6	5	6	10	12	10	11	8	15	14	12	22	13	25	9	18	5	24	11	13	10	9	6	11	7	13	4	11	12	21	4	10	11	10	14	11	10	12	10	10	8	472
OG0000108	21	0	45	5	2	1	0	11	0	18	0	2	115	4	86	19	0	0	0	4	0	0	0	3	0	5	0	15	0	16	0	7	1	0	1	23	6	35	16	0	3	4	468
OG0000109	25	13	10	12	14	14	2	9	9	1	3	6	22	17	5	14	20	2	22	11	19	15	13	12	15	22	10	30	3	24	21	22	0	0	4	0	0	0	14	9	3	0	467
OG0000110	19	4	7	16	8	12	3	5	7	22	14	1	26	15	28	10	13	5	10	21	5	6	8	12	9	6	10	7	2	10	12	8	16	19	9	24	17	16	5	1	7	10	465
OG0000111	22	9	0	6	25	8	8	8	7	17	14	11	22	10	18	10	25	13	7	12	14	4	12	7	16	8	1	7	13	18	8	5	11	13	1	22	14	9	12	11	1	6	465
OG0000112	7	5	11	3	8	11	8	8	11	9	12	10	22	13	13	14	11	10	22	18	7	14	13	13	17	3	16	3	13	8	20	4	7	7	12	14	8	8	15	12	12	11	463
OG0000113	0	0	0	0	37	81	0	33	0	8	0	0	0	54	23	75	33	0	56	0	13	0	0	4	2	0	11	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	463
OG0000114	26	4	9	12	5	14	6	3	9	33	23	7	15	15	29	17	12	7	6	12	8	6	39	12	7	9	11	10	8	6	16	9	6	5	9	7	6	4	7	3	6	3	461
OG0000115	8	6	0	15	8	9	10	9	5	6	54	22	2	32	5	14	3	10	17	16	26	9	14	11	9	6	14	6	25	6	11	3	8	7	7	8	5	5	10	4	6	7	458
OG0000116	36	5	7	11	9	10	4	8	5	10	5	12	28	12	24	9	15	9	23	10	10	10	6	4	10	11	10	11	6	8	4	15	12	11	5	14	9	8	13	7	6	12	454
OG0000117	27	6	8	20	14	4	4	8	3	14	15	8	20	19	11	8	34	5	9	17	26	9	11	8	6	15	6	13	4	18	22	13	6	3	4	9	4	1	4	9	5	3	453
OG0000118	40	31	1	11	21	3	1	7	0	1	14	2	0	14	1	10	46	5	8	17	9	16	28	6	4	25	3	21	9	6	24	11	1	1	7	1	0	1	12	21	5	9	453
OG0000119	32	6	8	25	10	3	1	2	7	5	6	33	28	7	18	0	19	1	15	9	1	3	8	0	1	66	3	18	3	1	3	58	5	5	12	2	4	3	1	8	9	3	452
OG0000120	34	10	10	20	16	3	4	11	7	10	6	11	6	8	9	7	20	20	12	6	11	9	8	2	7	19	6	24	8	16	10	18	2	3	19	4	2	2	17	12	21	2	452
OG0000121	9	8	2	6	14	12	8	12	8	12	7	15	16	13	12	13	12	14	23	16	11	8	8	8	12	7	11	7	8	11	8	10	10	10	6	16	10	10	16	8	10	15	452
OG0000122	8	7	12	9	9	10	4	8	7	12	7	19	17	15	11	12	10	21	16	14	8	14	8	8	10	7	10	7	11	8	10	13	10	9	6	16	9	10	16	8	7	15	448
OG0000123	1	17	13	1	4	28	0	12	5	0	0	144	40	19	18	3	2	0	48	36	0	0	1	5	2	0	15	1	14	2	1	1	0	0	8	0	0	0	2	0	0	4	447
OG0000124	29	8	3	7	3	17	7	5	4	5	13	8	10	8	5	8	28	11	30	18	2	12	11	7	7	8	14	7	5	2	8	13	15	19	7	17	22	11	14	5	9	4	446
OG0000125	12	7	7	8	20	9	4	9	4	25	30	9	21	10	24	8	35	8	11	9	12	9	11	6	6	8	8	9	6	12	6	9	6	6	16	7	5	4	10	6	6	7	445
OG0000126	4	3	8	3	11	19	9	13	4	6	20	37	27	15	15	14	9	6	18	9	15	5	14	12	4	10	17	5	8	21	6	3	11	9	1	17	10	10	8	1	1	6	444
OG0000127	17	5	15	7	12	9	12	8	9	9	7	16	17	18	11	18	9	6	23	12	13	12	9	11	16	8	6	8	12	11	15	9	8	6	7	6	5	4	9	17	6	5	443
OG0000128	16	4	10	9	13	19	7	11	3	7	5	8	25	7	22	6	20	6	26	7	9	7	7	4	18	11	18	7	5	10	3	5	11	11	7	19	12	9	15	8	9	6	442
OG0000129	9	6	7	8	8	14	6	8	7	7	6	18	12	10	14	11	7	26	26	10	8	14	6	5	14	7	11	9	8	8	6	14	12	11	6	16	10	8	21	6	5	16	441
OG0000130	24	9	8	9	7	10	6	7	7	13	7	12	24	11	25	9	13	14	16	13	9	10	6	6	13	9	7	11	8	7	5	13	9	8	7	14	7	8	15	10	5	9	440
OG0000131	0	0	0	0	8	20	7	5	5	7	6	10	13	11	36	17	14	0	27	17	20	0	6	6	12	0	25	0	6	18	8	0	18	13	24	20	16	7	16	3	15	4	440
OG0000132	9	8	6	8	12	11	5	9	8	12	7	13	8	8	9	10	14	16	26	11	12	7	7	7	13	10	13	9	8	11	8	9	11	11	6	21	11	12	19	6	6	12	439
OG0000133	9	9	5	4	12	9	9	10	10	13	8	11	30	9	9	9	16	15	15	8	13	1	8	11	8	11	11	9	9	20	14	10	7	8	11	13	5	14	11	11	6	7	438
OG0000134	0	0	3	0	21	15	2	8	11	11	10	23	30	26	31	31	19	0	11	5	20	4	19	14	9	0	7	0	15	23	27	0	5	4	6	2	2	1	9	4	3	6	437
